景点名称,美食评分,人均消费,地址,推荐菜,评价
俞少宸火锅(抚琴店),4.5,65,抚琴街道营兴街83号,"折耳根, 香菜脆皮泡芙, 卡布奇诺泡芙, 芒果泡芙, 香草脆皮",奶香玉米，粒粒玉米浸泡在浓郁的奶香中，入口甜美，回味悠长。
阿卡院子·云南鲜烤,4.4,114,大田坎街6号,"蹄花, 猪肚, 英雄杯的黑啤, 烤鱼, 梅子酒",炭火烤鸡翅，鸡翅经过炭火慢烤，外皮酥脆，内里多汁，咬下去汁水四溢，是烧烤中的经典。
CHAGEE霸王茶姬(成都SKP店),4.9,146,天府大道北段1700号SKP购物中心美食北角D1125号商铺,"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",卤肉饭，卤制得香浓的肉酱淋在白米饭上，酱香四溢，每一口都让人充满满足感。
成都润邦国际酒店·流金行政酒廊,4.9,125,成都市金牛区蜀汉路249号润邦国际酒店13F,"虾滑, 手工面, 肥牛, 相间肥牛, 青椒肉丝",腊肉炒饭，颗颗米饭吸收了腊肉的香味，搭配青菜和鸡蛋，咸香可口，吃起来别有风味。
青城山素喜青山森林民宿·餐厅,4.6,140,崇州街子镇古寺村7组39号,"蹄花, 猪肚, 英雄杯的黑啤, 烤鱼, 梅子酒",泡椒凤爪，鸡爪口感软糯，泡椒的酸辣味渗透其中，清爽又开胃。
成都万枫酒店·清欢COFFEE BAR,4.3,67,成都双流区吉龙路888号附107,"宫保鸡丁, 麻婆豆腐, 水煮牛肉, 葱油饼, 红烧肉",宫保鸡丁，鸡肉鲜嫩多汁，花生酥脆可口，搭配特制的酸甜酱汁，让人吃完还想再来一份。
牛牛海鲜粥底火锅(东安天街店),3.9,95,桃都大道766号东安天街B馆4楼04-05,"香草黑曲奇, 原味泡芙, 巧克力泡芙, 曲奇泡芙, 泡芙",烤羊排，外焦里嫩的羊排肉，撒上香料后经过慢火烤制，羊肉的汁水被牢牢锁住，滋味无穷。
巴蜀大将火锅(太古里店),4.1,117,下东大街2号2层,"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",黄焖牛肉，牛肉经过长时间炖煮，软烂入味，搭配浓郁的汤汁，是下饭的绝佳选择。
牛煊煊现炒牛肉小锅米线,4.3,133,四川省成都市武侯区玉林南路110号,"辣子鸡, 鱼香肉丝, 拔丝地瓜, 辣椒炒肉, 炸鸡排",干锅土豆片，土豆片经过高温翻炒，外皮焦脆，内里软糯，吸收了干锅的香料精华，是一道难以抗拒的佳肴。
坎尖老火锅(宽窄巷子店),4.7,83,上同仁路74号附1号,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",腊肉炒饭，颗颗米饭吸收了腊肉的香味，搭配青菜和鸡蛋，咸香可口，吃起来别有风味。
MZ咖啡与茶,4.9,121,通宝街219号2层202号,"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",油泼面，手工拉制的面条上淋满滚烫的油泼辣子，香气扑鼻，简单却让人欲罢不能。
邓家菜(成达佳园店),4.2,68,世纪城路198号附1207号,"核桃花生奶, 功夫牛蛙, 滋味排骨, 培根薯条, 英雄杯黄啤",红烧茄子，茄子吸满了浓郁的酱汁，软嫩多汁，入口即化，是家常菜的代表作。
門吉烩私房砂锅鱼(东湖翡翠城店),4,136,琉璃路678号附5号,"炒米粉, 肉末茄子, 冬瓜汤, 酸辣粉, 酱油鸡",干锅肥肠，肥肠处理得干净且软糯，搭配红辣椒和洋葱，香味扑鼻，每一口都充满浓郁的锅气。
清真粤皇港式茶餐厅(天府广场店),3.6,66,西御街6-13号,"辣椒炒肉, 三杯鸡, 蜜汁排骨, 酸菜鱼, 豆皮",麻辣烤鱼，鱼肉鲜嫩，裹满了浓郁的辣椒和花椒香味，每一口都能感受到层层叠加的麻辣冲击，直击味蕾。
古今山林火锅公园(温江店),4.1,84,生态大道黄石社区9组203号,"蒸馒头, 白切鸡, 糖醋鱼, 清蒸带鱼, 干锅牛肉",金针菇肥牛卷，肥牛肉包裹着细长的金针菇，经过涮煮后鲜嫩多汁，蘸上特制酱料，更是美味。
不二禾风,4.5,68,水木北部环线中化现代农业,"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",香菇鸡汤，鸡汤鲜美，香菇的独特香味融入汤中，是一碗暖心的滋补好汤。
确二八实重庆老火锅(鑫苑店),4.3,102,华阳街道瑞祥路90号一层、92号一层,"宫保鸡丁, 麻婆豆腐, 水煮牛肉, 葱油饼, 红烧肉",干煸四季豆，四季豆煸炒至微焦，外皮酥脆，内里软嫩，搭配肉末一起炒，香味扑鼻。
奎姐面馆·爆炒鸡爪,3.7,82,东大街锦东路段62号附2、3号,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",锅包肉，酥脆的外皮裹着酸甜的糖醋汁，外脆内嫩，甜而不腻，是经典东北菜。
围满停车场烧烤(成都店),4.8,106,四川省成都市武侯区盛隆街5号附1号,"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",孜然羊肉，切片的羊肉搭配浓郁的孜然香气，肉质鲜嫩又多汁，辛香四溢，完美的烧烤经典。
满展原味火锅(郫县百伦店),4.4,79,小北街105号107号,"炒米粉, 肉末茄子, 冬瓜汤, 酸辣粉, 酱油鸡",油泼面，手工拉制的面条上淋满滚烫的油泼辣子，香气扑鼻，简单却让人欲罢不能。
汉堡王(成都天府国际店),3.6,67,一环路东五段8号天府国际一层02号B02室,"芥兰牛肉, 蒜泥白肉, 红油抄手, 烤羊排, 香酥鸭",蛋炒饭，每一粒米饭都被蛋液包裹，粒粒分明，搭配火腿丁和青豆，让简单的家常菜变得无比美味。
sailor coffee-水手咖啡,4,62,花照壁下横街423号,"清蒸螃蟹, 炒年糕, 西兰花炒蘑菇, 海带汤, 木须肉",黑椒牛柳，牛柳炒得嫩滑多汁，浓郁的黑椒酱汁裹满肉片，咸香适中，令人胃口大开。
雍容荟帝王蟹活波龙自助餐（IFS黑金店）,4.4,136,锦江区红星路IFS国际金融中心5楼505号,"芥兰牛肉, 蒜泥白肉, 红油抄手, 烤羊排, 香酥鸭",干煸四季豆，四季豆煸炒至微焦，外皮酥脆，内里软嫩，搭配肉末一起炒，香味扑鼻。
鮨·松岩·割烹(玉林店),3.8,144,四川省成都市武侯区玉林西路68号附1号,"蒜薹炒肉, 蚂蚁上树, 家常豆腐, 京酱肉丝, 香酥鸭",辣子鸡，小块的鸡肉外酥里嫩，辣椒的香辣与花椒的麻完美结合，每一口都让人热血沸腾。
良木缘咖啡西餐(仁和新城店),4.4,125,成汉南路仁和新城A座二层219号,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",孜然羊肉，切片的羊肉搭配浓郁的孜然香气，肉质鲜嫩又多汁，辛香四溢，完美的烧烤经典。
野猪儿·夜蹄花·鳝鱼美蛙面(望平街店),4,73,望平街17号,"炒米粉, 肉末茄子, 冬瓜汤, 酸辣粉, 酱油鸡",麻辣烤鱼，鱼肉鲜嫩，裹满了浓郁的辣椒和花椒香味，每一口都能感受到层层叠加的麻辣冲击，直击味蕾。
缘起缘·庭院川菜,4.5,117,桃蹊路199号（精视力眼镜旁边大门进去）,"清蒸螃蟹, 炒年糕, 西兰花炒蘑菇, 海带汤, 木须肉",红烧狮子头，肉质细腻，酱汁浓厚又不失鲜美，入口即化的感觉让人忍不住一口接一口。
走六巷子鸡,4.7,140,草市街道北东街1号1栋103,"番茄牛腩, 煎鸡排, 鲍鱼粥, 海鲜面, 荠菜饺子",锅包肉，酥脆的外皮裹着酸甜的糖醋汁，外脆内嫩，甜而不腻，是经典东北菜。
香村老汉木桶鱼(光华店),3.5,102,青羊大道16号附5号,"卡布奇诺脆皮, 卡布奇黑曲奇, 冰淇淋, 薯条, 猪颈肉",干锅肥肠，肥肠处理得干净且软糯，搭配红辣椒和洋葱，香味扑鼻，每一口都充满浓郁的锅气。
HONG COFFEE(玉林南路店),4.2,144,玉林南路7号附30-31号,"羊肉串, 羊肉泡馍, 北京烤鸭, 蒜蓉生蚝, 香辣蟹",干锅牛蛙，牛蛙肉质滑嫩，干锅香料的浓郁香味充分渗透，香辣刺激，让人欲罢不能。
金五花西昌火盆烤肉(温江店),4.3,125,长石村12组天乡路一段208号,"豆腐汤, 红烧鱼, 炸酱面, 鱼香肉丝, 拔丝地瓜",宫保鸡丁，鸡肉鲜嫩多汁，花生酥脆可口，搭配特制的酸甜酱汁，让人吃完还想再来一份。
燊味三·盐井川菜(龙潭店),3.7,77,成宏路2号附4,"三鲜炒面, 泡菜炖豆腐, 蒜蓉西兰花, 红烧牛肉面, 清蒸鲳鱼",红烧茄子，茄子吸满了浓郁的酱汁，软嫩多汁，入口即化，是家常菜的代表作。
享月·汤皇(西城店),3.8,147,蔡桥街道光华北三路238号西城新中心B座3楼（中坝地铁站B口步行120米）,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",蒸水蛋，鸡蛋蒸得嫩滑如布丁，清香的蒸蛋搭配几滴酱油，简单却让人百吃不厌。
牛冲冲鲜毛肚鲜牛杂火锅,4,130,成都市四川省青羊区光华北三路98号-1层附165号,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",红烧牛肉面，浓郁的牛肉汤底与手工拉制的面条完美结合，牛肉软烂入味，每一口都是暖心的满足。
黔川川夺夺粉火锅(营门口店),3.8,96,金沙横街112号附2,"虾滑, 手工面, 肥牛, 相间肥牛, 青椒肉丝",炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
渝·堂前燕老火锅,4.4,85,净居寺西街55号,"烤土豆, 鱼头豆腐汤, 京酱肉丝, 泡椒鸡爪, 美味炒年糕",干锅牛蛙，牛蛙肉质滑嫩，干锅香料的浓郁香味充分渗透，香辣刺激，让人欲罢不能。
李火火肥排烧烤,4.3,77,望平街98号,"卡布奇诺脆皮, 卡布奇黑曲奇, 冰淇淋, 薯条, 猪颈肉",干锅肥肠，肥肠处理得干净且软糯，搭配红辣椒和洋葱，香味扑鼻，每一口都充满浓郁的锅气。
漠北故事西北烧烤·馕坑烤鱼,4.3,61,吉泰六路193号1层商铺,"清蒸螃蟹, 炒年糕, 西兰花炒蘑菇, 海带汤, 木须肉",宫廷酱鸭，整只鸭子经过长时间的卤制，外皮酥香，内里肉质鲜嫩，酱汁渗透到每一寸肌理之中。
渝少侠·河畔小院火锅(望平街店),4,107,望平街滨河路8号,"粉丝煲, 鸡蛋羹, 牛肉炒面, 糖醋小排, 韭菜鸡蛋饼",金针菇肥牛卷，肥牛肉包裹着细长的金针菇，经过涮煮后鲜嫩多汁，蘸上特制酱料，更是美味。
杨羊家石棉烧烤(东郊记忆店),3.6,75,建设南路174号,"炖羊肉, 黑椒牛肉面, 手撕鸡, 番茄炒蛋, 红烧豆腐",炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
无界之界国潮生活馆(凯莱帝景店),4.1,69,桐梓林北路凯莱帝景B座25楼,"清蒸螃蟹, 炒年糕, 西兰花炒蘑菇, 海带汤, 木须肉",藤椒鸡，鸡肉浸泡在特制的藤椒汤中，肉质嫩滑，藤椒的麻香味扑面而来，是夏日解腻的好选择。
溪与河无限量自助烤肉,4.1,147,成都市都江堰市青城山路青城山百色小学西北侧,"香草黑曲奇, 原味泡芙, 巧克力泡芙, 曲奇泡芙, 泡芙",台式卤肉饭，细腻的卤肉酱与白米饭交融，搭配香煎荷包蛋，家常味中透着浓浓的幸福感。
牛富华牛杂火锅(世豪广场店),3.7,63,成都市富华南路1890号,"三鲜炒面, 泡菜炖豆腐, 蒜蓉西兰花, 红烧牛肉面, 清蒸鲳鱼",泡椒凤爪，鸡爪口感软糯，泡椒的酸辣味渗透其中，清爽又开胃。
美西啤酒酿造(玉林店),4.3,127,玉林中路32号,"酸汤肥牛, 糖醋里脊, 青椒肉丝, 芝麻鸡, 清炒时蔬",干锅土豆片，土豆片经过高温翻炒，外皮焦脆，内里软糯，吸收了干锅的香料精华，是一道难以抗拒的佳肴。
GALACTIC CLUB,3.6,141,顺城大街75号附1号,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",藤椒鱼片，鱼片鲜嫩滑口，藤椒的麻香味让整道菜增添了别样的层次感，搭配青花椒和特制汤底，清新爽口。
龍LiveHouse,5,114,太平南新街6号2栋3楼25号,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",糖醋排骨，外皮酥脆，糖醋比例调和得恰到好处，酸甜味中透着一丝肉香，简直是米饭杀手。
陶德砂锅(金融城店),3.8,83,成汉南路天府新谷8栋1单元2楼,"香草黑曲奇, 原味泡芙, 巧克力泡芙, 曲奇泡芙, 泡芙",烤羊排，外焦里嫩的羊排肉，撒上香料后经过慢火烤制，羊肉的汁水被牢牢锁住，滋味无穷。
V AM CLUB,4.9,114,顺城大街75号附3号,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",台式卤肉饭，细腻的卤肉酱与白米饭交融，搭配香煎荷包蛋，家常味中透着浓浓的幸福感。
白玛·小酒馆(玉林店),4.3,137,玉林西路94号,"红糖滑冰粉, 烤排骨, 辣炒掌中宝, 何师中翅, 锡纸烤脑花",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
粉猪(宽窄巷子店),4.2,131,上同仁路70号附1号1层,"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",糖醋鱼，整条鱼炸至酥脆，外裹浓郁的糖醋汁，酸甜适口，鱼肉鲜美。
兰桂坊OT CLUB·综合娱乐空间(银河中心店),3.7,139,总府路74号附8号,"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",烤羊排，外焦里嫩的羊排肉，撒上香料后经过慢火烤制，羊肉的汁水被牢牢锁住，滋味无穷。
AHouse音乐现场,3.8,78,建设南支路1号东郊记忆园区北大门进入左转50米1号楼,"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",香菇鸡汤，鸡汤鲜美，香菇的独特香味融入汤中，是一碗暖心的滋补好汤。
药厂,4.1,145,宏济巷136号1栋1层101号,"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",锅包肉，酥脆的外皮裹着酸甜的糖醋汁，外脆内嫩，甜而不腻，是经典东北菜。
BAR Signal·鸡尾酒酒吧,4.9,131,双福一路66号附22号,"拍黄瓜, 炖鸡, 红烧排骨, 干煸四季豆, 蒸蛋",宫保鸡丁，鸡肉鲜嫩多汁，花生酥脆可口，搭配特制的酸甜酱汁，让人吃完还想再来一份。
V AMUSING CLUB·酒吧(银河中心店),4.3,119,顺城大街75号锦官城百货一层2号商铺,"卡布奇诺脆皮, 卡布奇黑曲奇, 冰淇淋, 薯条, 猪颈肉",锅包肉，酥脆的外皮裹着酸甜的糖醋汁，外脆内嫩，甜而不腻，是经典东北菜。
谧舍·Hola Bar&amp;Café(金沙店),3.6,135,金凤路11号附3号,"折耳根, 香菜脆皮泡芙, 卡布奇诺泡芙, 芒果泡芙, 香草脆皮",香辣毛血旺，各种食材漂浮在红亮的汤底中，麻辣鲜香，每一口都让人酣畅淋漓。
串·记忆锦州烧烤,3.7,74,剑南大道中段1566号1层,"清蒸鲈鱼, 烧白菜, 酸辣土豆丝, 糖醋排骨, 青椒牛柳",宫廷酱鸭，整只鸭子经过长时间的卤制，外皮酥香，内里肉质鲜嫩，酱汁渗透到每一寸肌理之中。
吐真剂,4.5,104,宏济巷105号（牛王庙地铁站C口步行320米）,"清蒸鲈鱼, 烧白菜, 酸辣土豆丝, 糖醋排骨, 青椒牛柳",蛋炒饭，每一粒米饭都被蛋液包裹，粒粒分明，搭配火腿丁和青豆，让简单的家常菜变得无比美味。
愤怒的柱子,3.6,144,莲花西路204号,"排骨, 鱼皮, 酥肉, 酸梅汤, 肚子鸡",干煸四季豆，四季豆煸炒至微焦，外皮酥脆，内里软嫩，搭配肉末一起炒，香味扑鼻。
山生烧肉酒场,4.7,116,四川省成都市武侯区大世界商业广场1栋1楼174号,"蹄花, 猪肚, 英雄杯的黑啤, 烤鱼, 梅子酒",麻婆豆腐，滑嫩的豆腐裹满了红亮的辣油和牛肉末，麻辣鲜香，完美下饭。
野番茄贵州酸汤火锅(西宸天街店),4.2,139,花照里31号1层,"卡普奇诺泡芙, 卡布基诺泡芙, 抹茶黑曲奇, 板栗泡芙, 冰激凌泡芙",鱼香肉丝，细嫩的肉丝与酸甜口的酱汁完美融合，搭配脆嫩的青椒和胡萝卜丝，清爽又解腻。
怡品堂·金宴中餐厅(成都瑯珀·凯悦臻选酒店),4.4,147,东大街下东大街段258号2号楼成都瑯珀·凯悦臻选酒店5楼及37楼,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",西红柿炖牛腩，牛腩软烂入味，西红柿的酸甜完美融合到汤中，配上一碗米饭，简单又幸福。
文飽長原味老火锅直营(东门市井店),4.4,102,佳宏路88号(狮子山地铁站D口步行390米),"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",台式卤肉饭，细腻的卤肉酱与白米饭交融，搭配香煎荷包蛋，家常味中透着浓浓的幸福感。
阿凯缇娅·星野雪山庄园·餐厅,4.4,126,成都市大邑县花水湾镇源口路28号,"豆腐鱼, 拍黄瓜, 糖醋里脊, 蒸水蛋, 酱香鸡",宫廷酱鸭，整只鸭子经过长时间的卤制，外皮酥香，内里肉质鲜嫩，酱汁渗透到每一寸肌理之中。
蜀宴赋,5,144,东郊记忆路东郊记忆南大门27号楼1层,"蹄花, 猪肚, 英雄杯的黑啤, 烤鱼, 梅子酒",糖醋鱼，整条鱼炸至酥脆，外裹浓郁的糖醋汁，酸甜适口，鱼肉鲜美。
SORA&amp;KUMO青空白雲(成都IFS旗舰店),4.2,109,红星路三段1号成都IFS国际金融中心地下二层LG252K号,"排骨, 鱼皮, 酥肉, 酸梅汤, 肚子鸡",黄焖鸡米饭，鸡肉鲜嫩，酱汁浓厚，米饭吸满了汤汁，每一口都是满足的体验。
侸鲜鲜贵州豆米火锅(万象城店),4.8,143,成都市双林南支路40号,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",酸辣粉，手工制作的红薯粉条劲道弹滑，酸辣汤底浓郁，搭配脆爽的花生和葱花，风味独特。
芭夯兔(天府广场店),3.8,77,东御街18号天府红购物中心7楼,"羊肉串, 羊肉泡馍, 北京烤鸭, 蒜蓉生蚝, 香辣蟹",宫廷酱鸭，整只鸭子经过长时间的卤制，外皮酥香，内里肉质鲜嫩，酱汁渗透到每一寸肌理之中。
拔叔西北麻辣拌(较场坝店),4.4,114,较场坝东五街3号,"香草黑曲奇, 原味泡芙, 巧克力泡芙, 曲奇泡芙, 泡芙",酸辣粉，手工制作的红薯粉条劲道弹滑，酸辣汤底浓郁，搭配脆爽的花生和葱花，风味独特。
宵师父·江湖菜(蜀都万达店),4.4,114,檬柏西路37、39号,"老北京炸酱面, 香煎鳕鱼, 油泼面, 红烧带鱼, 素炒包菜",炸酱面，面条筋道十足，裹满浓郁的肉末酱，入口咸香适中，搭配清脆的小菜，口感更加丰富。
柒叁城·江湖摊摊,4.1,130,彩虹街9号旁,"羊肉串, 羊肉泡馍, 北京烤鸭, 蒜蓉生蚝, 香辣蟹",红烧茄子，茄子吸满了浓郁的酱汁，软嫩多汁，入口即化，是家常菜的代表作。
琳朵·融合料理,4.3,123,光华大道三段1868号（德昆新天地盒马鲜生旁）,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
崴火锅·自助鲜货火锅(凯宏广场店),4.1,142,方营路555号,"蒜薹炒肉, 蚂蚁上树, 家常豆腐, 京酱肉丝, 香酥鸭",水晶饺子，外皮薄透如水晶，内馅鲜嫩多汁，吃起来Q弹爽滑，是宴席上的美味佳肴。
